name	id	firstAuthor	title	subtitle	normalizedGenre	yearNormalized	size	libretto	averageClustering	density	averagePathLength	maxDegreeIds	averageDegree	diameter	yearPremiered	yearPrinted	maxDegree	numOfSpeakers	numOfSpeakersFemale	numOfSpeakersMale	numOfSpeakersUnknown	numPersonGroups	numConnectedComponents	yearWritten	numOfSegments	wikipediaLinkCount	numOfActs	wordCountText	wordCountSp	wordCountStage	numOfP	numOfL
wagner-siegfried	ger000105	Wagner	Siegfried			1853	8	true	0.729166667	0.607142857	1.428571429	siegfried|wandrer	4.25	3	1876	1853	6	8	2	5	1		1		8	31	3	15041	14528	3593	0	2766
wedekind-der-kammersaenger	ger000003	Wedekind	Der Kammersänger			1899	7	false	0.504761905	0.428571429	1.571428571	gerardo	2.571428571	2	1899	1899	6	7	2	5	0		1	1897	10	0	0	10216	10044	1131	311	20
wedekind-der-marquis-von-keith	ger000425	Wedekind	Der Marquis von Keith	Schauspiel in fünf Aufzügen		1900	23	false	0.881032548	0.703557312	1.296442688	anna|von_keith|scholz	15.47826087	2	1901	1900	22	23	8	15	0		1		5	1	5	24502	23956	3179	996	0
wedekind-die-buechse-der-pandora	ger000436	Wedekind	Die Büchse der Pandora	Tragödie in drei Aufzügen mit einem Prolog	Tragedy	1902	23	false	0.935455565	0.490118577	1.299435028	several characters	10.7826087	2	1904	1902	18	23	6	17	0		2	1894/1902	4	4	3	20089	19327	3287	777	98
wedekind-die-zensur	ger000377	Wedekind	Die Zensur	Theodizee in einem Akt		1908	4	false	1	1	1	several characters	3	1	1909	1908	3	4	2	2	0		1	1907	3	0	0	8599	8500	698	203	40
wedekind-erdgeist	ger000140	Wedekind	Erdgeist	Tragödie in vier Aufzügen	Tragedy	1895	13	false	0.737584638	0.487179487	1.538461538	lulu	5.846153846	3	1898	1895	11	13	3	10	0		1	1895	34	5	4	20088	18603	4188	1375	0
wedekind-franziska	ger000323	Wedekind	Franziska	Ein modernes Mysterium in fünf Akten		1912	35	false	0.924552172	0.272268908	1.734453782	franziska	9.257142857	3	1912	1912	33	35	12	21	2		1	1911	21	1	5	23053	22496	2109	915	637
wedekind-fritz-schwigerling	ger000135	Wedekind	Fritz Schwigerling oder Der Liebestrank	Schwank in drei Aufzügen	Comedy	1899	10	false	0.83	0.622222222	1.4	fuerst|coelestin	5.6	3	1900	1899	8	10	3	7	0		1		41	0	3	15124	14548	2792	895	4
wedekind-fruehlings-erwachen	ger000040	Wedekind	Frühlings Erwachen	Eine Kindertragödie	Tragedy	1891	36	false	0.837170463	0.26984127	2.036507937	melchior	9.444444444	4	1906	1891	24	36	7	29	0		1	1890	19	12	3	18789	18464	800	776	0
wedekind-hidalla	ger000023	Wedekind	Hidalla oder Sein und Haben	Schauspiel in fünf Akten		1904	15	false	0.917082917	0.838095238	1.161904762	several characters	11.73333333	2	1905	1904	14	15	4	11	0		1	1903	5	0	5	19686	19295	2202	621	0
