Personen	NN	Person
Franz	NE	Franz
den	ART	die
Krampen	NN	Krampe
ordentlich	ADJD	ordentlich
abreibt	VVFIN	abreibt
,	$,	,
wir	PPER	wir
sind	VAFIN	sein
heut	VVFIN	heuen
ein	ART	eine
bissel	NN	bissel
feurig	ADJD	feurig
gewesen	VAPP	sein
...	$.	...
alle	PIAT	alle
zwei	CARD	zwei
.	$.	.
DIENER	NN	Diener
ab	PTKVZ	ab
.	$.	.
GRAF	NE	Graf
hat	VAFIN	haben
sich	PRF	sich
auf	APPR	auf
die	ART	die
Bank	NN	Bank
gesetzt	VVPP	setzen
,	$,	,
nimmt	VVFIN	nehmen
eine	ART	eine
Zeitung	NN	Zeitung
,	$,	,
die	PRELS	die
auf	APPR	auf
dem	ART	die
Tisch	NN	Tisch
liegt	VVFIN	liegen
,	$,	,
und	KON	und
liest	VVFIN	lesen
.	$.	.
GÄRTNER	VVIMP	gärtnern
kommt	VVFIN	kommen
.	$.	.
Guten	ADJA	gut
Morgen	NN	Morgen
,	$,	,
gräfliche	ADJA	gräfliche
Gnaden	NN	Gnade
.	$.	.
GRAF	NE	Graf
.	$.	.
Guten	ADJA	gut
Morgen	NN	Morgen
,	$,	,
Peter	NE	Peter
.	$.	.
Was	PWS	was
gibt	VVFIN	geben
's	PPER	es
denn	ADV	denn
?	$.	?
GÄRTNER	VVIMP	gärtnern
.	$.	.
Wenn	KOUS	wenn
gräfliche	ADJA	gräfliche
Gnaden	NN	Gnade
erlauben	VVINF	erlauben
,	$,	,
die	ART	die
Teerosen	NN	Teerose
hab	VAIMP	haben
'	$(	'
ich	PPER	ich
grad	VVFIN	grad
abgeschnitten	ADJD	abgeschnitten
.	$.	.
GRAF	NE	Graf
.	$.	.
Ja	PTKANT	ja
warum	PWAV	warum
denn	ADV	denn
so	ADV	so
viel	PIS	viele
?	$.	?
GÄRTNER	VVIMP	gärtnern
.	$.	.
Der	ART	die
Strauch	NN	Strauch
ist	VAFIN	sein
ganz	ADV	ganz
voll	ADJD	voll
.	$.	.
Es	PPER	es
wär	ADJD	wär
'	$(	'
kaum	ADV	kaum
ratsam	ADJD	ratsam
,	$,	,
gräfliche	ADJA	gräfliche
Gnaden	NN	Gnade
,	$,	,
wenn	KOUS	wenn
wir	PPER	wir
sie	PPER	sie
länger	ADJD	lang
am	APPRART	an
Stock	NN	Stock
ließen	VVFIN	lassen
.	$.	.
Wenn	KOUS	wenn
gräfliche	ADJA	gräfliche
Gnaden	NN	Gnade
vielleicht	ADV	vielleicht
eine	ART	eine
Verwendung	NN	Verwendung
hätten	VAFIN	haben
...	$.	...
GRAF	NE	Graf
.	$.	.
Hab	NN	Hab
'	$(	'
keine	PIAT	keine
Verwendung	NN	Verwendung
.	$.	.
Na	ITJ	na
,	$,	,
was	PRELS	was
schaun	NE	schaun
S	NN	S
'	$(	'
denn	ADV	denn
?	$.	?
Ich	PPER	ich
fahr	VVIMP	fahren
'	$(	'
heut	VVFIN	heuen
nicht	PTKNEG	nicht
in	APPR	in
die	ART	die
Stadt	NN	Stadt
,	$,	,
ich	PPER	ich
brauch	VVIMP	brauchen
'	$(	'
kein	PIAT	keine
Bukett	NN	Bukett
.	$.	.
Stecken	NN	Stecken
S	NN	S
'	$(	'
die	ART	die
Blumen	NN	Blume
einzeln	ADJD	einzeln
in	APPR	in
die	ART	die
Vasen	NN	Vase
und	KON	und
Gläser	NN	Glas
,	$,	,
die	PRELS	die
drin	ADV	drin
herumstehen	VVINF	herumstehen
.	$.	.
So	ADV	so
wie	KOUS	wie
's	PPER	es
jetzt	ADV	jetzt
modern	ADJD	modern
ist	VAFIN	sein
.	$.	.
Nimmt	VVFIN	nehmen
die	ART	die
Blumen	NN	Blume
in	APPR	in
die	ART	die
Hand	NN	Hand
und	KON	und
riecht	VVFIN	riechen
daran	PAV	daran
.	$.	.
Scheint	VVFIN	scheinen
nachzusinnen	VVIZU	nachsinnen
.	$.	.
Halt	ADV	halt
'	$(	'
da	ADV	da
nicht	PTKNEG	nicht
ein	ART	eine
Wagen	NN	Wagen
?	$.	?
GÄRTNER	VVIMP	gärtnern
.	$.	.
Das	PDS	die
sind	VAFIN	sein
die	ART	die
Rappen	NN	Rappen
von	APPR	von
Seiner	PPOSAT	sein
Durchlaucht	NN	Durchlaucht
.	$.	.
Ich	PPER	ich
kenn	VVIMP	kennen
'	$(	'
sie	PPER	sie
am	APPRART	an
Schritt	NN	Schritt
.	$.	.
GRAF	NE	Graf
.	$.	.
Also	ADV	also
ich	PPER	ich
dank	APPR	dank
'	$(	'
Ihnen	PPER	Sie
schön	ADJD	schön
.	$.	.
Gibt	VVFIN	geben
ihm	PPER	er
die	ART	die
Rosen	NN	Rose
zurück	PTKVZ	zurück
.	$.	.
DER	ART	die
FÜRST	NN	Fürst
tritt	VVFIN	treten
durch	APPR	durch
das	ART	die
Haupttor	NN	Haupttor
ein	PTKVZ	ein
.	$.	.
GRAF	NE	Graf
geht	VVFIN	gehen
ihm	PPER	er
entgegen	PTKVZ	entgegen
.	$.	.
GÄRTNER	VVIMP	gärtnern
.	$.	.
Küss	VVIMP	küssen
'	$(	'
die	ART	die
Hand	NN	Hand
,	$,	,
Durchlaucht	NN	Durchlaucht
.	$.	.
FÜRST	NN	Fürst
.	$.	.
Guten	ADJA	gut
Morgen	NN	Morgen
,	$,	,
Peter	NE	Peter
.	$.	.
GÄRTNER	VVIMP	gärtnern
ab	ADV	ab
rechts	ADV	rechts
.	$.	.
FÜRST	NN	Fürst
in	APPR	in
lichtem	ADJA	licht
Sommeranzug	NN	Sommeranzug
,	$,	,
schlank	ADJD	schlank
,	$,	,
55	CARD	@card@
Jahre	NN	Jahr
,	$,	,
aber	KON	aber
etwas	ADV	etwas
jünger	ADJD	jung
aussehend	ADJD	aussehend
.	$.	.
Hat	VAFIN	haben
den	ART	die
leichten	ADJA	leicht
Diplomatenakzent	NN	Diplomatenakzent
eines	ART	eine
Herrn	NN	Herr
,	$,	,
der	PRELS	die
ebensoviel	ADV	ebensoviel
Französisch	NN	Französisch
spricht	VVFIN	sprechen
als	KOKOM	als
Deutsch	NN	deutsch
.	$.	.
GRAF	NE	Graf
.	$.	.
Grüß	VVIMP	grüßen
'	$(	'
dich	PPER	du
Gott	NN	Gott
,	$,	,
alter	ADJA	alt
Freund	NN	Freund
.	$.	.
Wie	KOUS	wie
geht	VVFIN	gehen
's	PPER	es
,	$,	,
wie	KOUS	wie
steht	VVFIN	stehen
's	PPER	es
?	$.	?
FÜRST	NN	Fürst
.	$.	.
Danke	PTKANT	danke
.	$.	.
Prachtvolles	ADJA	prachtvoll
Wetter	NN	Wetter
heute	ADV	heute
.	$.	.
GRAF	NE	Graf
offeriert	VVFIN	offerieren
ihm	PPER	er
eine	ART	eine
Riesenzigarre	NN	Riesenzigarre
.	$.	.
FÜRST	NN	Fürst
.	$.	.
Danke	PTKANT	danke
,	$,	,
nicht	PTKNEG	nicht
vor	APPR	vor
Tisch	NN	Tisch
.	$.	.
Eine	ART	eine
von	APPR	von
meinen	PPOSAT	mein
Zigaretten	NN	Zigarette
,	$,	,
wenn	KOUS	wenn
du	PPER	du
erlaubst	VVFIN	erlauben
.	$.	.
Nimmt	VVFIN	nehmen
eine	ART	eine
Zigarette	NN	Zigarette
aus	APPR	aus
seiner	PPOSAT	sein
Zigarrentasche	NN	Zigarrentasche
und	KON	und
zündet	VVFIN	zünden
sie	PPER	sie
an	PTKVZ	an
.	$.	.
GRAF	NE	Graf
.	$.	.
Daß	KOUS	dass
du	PPER	du
dich	PPER	du
wieder	ADV	wieder
einmal	ADV	einmal
um	APPR	um
einen	ART	eine
umschaust	VVFIN	umschauen
.	$.	.
Weißt	VVFIN	weißen
du	PPER	du
überhaupt	ADV	überhaupt
,	$,	,
wie	KOKOM	wie
lang	ADJD	lang
du	PPER	du
nicht	PTKNEG	nicht
da	ADV	da
warst	VAFIN	sein
?	$.	?
Drei	CARD	drei
Wochen	NN	Woche
.	$.	.
FÜRST	ADJA	FÜRST
Blick	NN	Blick
