Erste	ADJA	erst
imstande	ADV	imstande
,	$,	,
mich	PPER	ich
zwei	CARD	zwei
Minuten	NN	Minute
ruhig	ADJD	ruhig
anzuhören	VVIZU	anhören
?	$.	?
FRAU	NN	Frau
BEZIRKSAMTMANN	NN	Bezirksamtmann
sehr	ADV	sehr
energisch	ADJD	energisch
.	$.	.
Nein	PTKANT	nein
!	$.	!
BEZIRKSAMTMANN	NE	BEZIRKSAMTMANN
.	$.	.
Dann	ADV	dann
beantworte	VVFIN	beantworten
mir	PPER	ich
wenigstens	ADV	wenigstens
die	ART	die
Frage	NN	Frage
,	$,	,
wer	PWS	wer
hat	VAFIN	haben
von	APPR	von
dir	PRF	du
verlangt	VVPP	verlangen
,	$,	,
daß	KOUS	dass
du	PPER	du
bei	APPR	bei
dieser	PDAT	dies
...	$.	...
bei	APPR	bei
dieser	PDAT	dies
Sache	NN	Sache
tätig	ADJD	tätig
sein	VAINF	sein
sollst	VMFIN	sollen
?	$.	?
FRAU	NN	Frau
BEZIRKSAMTMANN	NN	Bezirksamtmann
sehr	ADV	sehr
getragen	VVPP	tragen
.	$.	.
Das	PDS	die
wollte	VMFIN	wollen
ich	PPER	ich
sehen	VVINF	sehen
,	$,	,
von	APPR	von
wem	PWS	wer
ich	PPER	ich
mir	PRF	ich
Befehle	NN	Befehl
erteilen	VVINF	erteilen
lasse	VVFIN	lassen
.	$.	.
BEZIRKSAMTMANN	NE	BEZIRKSAMTMANN
.	$.	.
Von	APPR	von
niemand	PIS	niemand
,	$,	,
natürlich	ADV	natürlich
,	$,	,
von	APPR	von
niemand	PIS	niemand
!	$.	!
Beruhige	VVFIN	beruhigen
dich	PPER	du
nur	ADV	nur
!	$.	!
Glaubst	VVFIN	glauben
du	PPER	du
,	$,	,
daß	KOUS	dass
es	PPER	es
mir	PPER	ich
Freude	NN	Freude
macht	VVFIN	machen
,	$,	,
mit	APPR	mit
diesen	PDAT	dies
Leuten	NN	Leute
ein	ART	eine
paar	PIAT	paar
Stunden	NN	Stunde|Stunden
zusammenzusitzen	VVIZU	zusammensitzen
?	$.	?
FRAU	NN	Frau
BEZIRKSAMTMANN	NN	Bezirksamtmann
zuckt	VVFIN	zucken
die	ART	die
Achseln	NN	Achsel
.	$.	.
BEZIRKSAMTMANN	NE	BEZIRKSAMTMANN
.	$.	.
Das	PDS	die
ist	VAFIN	sein
eben	ADV	eben
eines	PIS	eine
der	ART	die
vielen	PIAT	viele
Opfer	NN	Opfer
,	$,	,
welche	PRELS	welche
wir	PPER	wir
der	ART	die
Staatsräson	NN	Staatsräson
zu	PTKZU	zu
bringen	VVINF	bringen
haben	VAFIN	haben
.	$.	.
FRAU	NN	Frau
BEZIRKSAMTMANN	NN	Bezirksamtmann
.	$.	.
Das	PDS	die
sagst	VVFIN	sagen
du	PPER	du
so	ADV	so
ziemlich	ADV	ziemlich
jedesmal	ADV	jedesmal
,	$,	,
wenn	KOUS	wenn
du	PPER	du
ins	APPRART	in
Wirtshaus	NN	Wirtshaus
gehen	VVINF	gehen
willst	VMFIN	wollen
.	$.	.
BEZIRKSAMTMANN	NE	BEZIRKSAMTMANN
.	$.	.
Wir	PPER	wir
müssen	VMFIN	müssen
unter	APPR	unter
das	ART	die
Volk	NN	Volk
.	$.	.
Wir	PPER	wir
haben	VAFIN	haben
nicht	PTKNEG	nicht
das	ART	die
Recht	NN	Recht
,	$,	,
uns	PRF	wir
daheim	ADV	daheim
auszuleben	VVIZU	ausleben
.	$.	.
Einerseits	ADV	einerseits
sollen	VMFIN	sollen
wir	PPER	wir
den	ART	die
Ideenkreis	NN	Ideenkreis
der	ART	die
unteren	ADJA	unter
Klassen	NN	Klasse
kennen	VVINF	kennen
lernen	VVINF	lernen
,	$,	,
andrerseits	ADV	andrerseits
sollen	VMFIN	sollen
wir	PPER	wir
den	ART	die
Leuten	NN	Leute
Gelegenheit	NN	Gelegenheit
geben	VVINF	geben
,	$,	,
der	ART	die
Regierung	NN	Regierung
...	$.	...
äh	VVFIN	äh
...	$.	...
der	ART	die
Regierung	NN	Regierung
menschlich	ADJD	menschlich
näher	ADJD	nah
zu	PTKZU	zu
treten	VVINF	treten
.	$.	.
FRAU	NN	Frau
BEZIRKSAMTMANN	NN	Bezirksamtmann
.	$.	.
Das	PDS	die
sind	VAFIN	sein
große	ADJA	groß
Worte	NN	Wort
für	APPR	für
Biertrinken	NN	Biertrinken
und	KON	und
Tabakrauchen	NN	Tabakrauchen
.	$.	.
BEZIRKSAMTMANN	NE	BEZIRKSAMTMANN
.	$.	.
Laß	VVIMP	lassen
diese	PDS	diese
Bitterkeiten	NN	Bitterkeit
.	$.	.
Mir	PPER	ich
ist	VAFIN	sein
es	PPER	es
so	ADV	so
peinlich	ADJD	peinlich
wie	KOKOM	wie
dir	PPER	du
,	$,	,
mit	APPR	mit
meinem	PPOSAT	mein
Amtsdiener	NN	Amtsdiener
Neusigl	NN	Neusigl
von	APPR	von
einem	ART	eine
Tische	NN	Tisch
zu	PTKZU	zu
essen	VVINF	essen
.	$.	.
Aber	KON	aber
die	ART	die
Sache	NN	Sache
hat	VAFIN	haben
einen	ART	eine
Zweck	NN	Zweck
.	$.	.
Und	KON	und
darum	PAV	darum
tu	VVFIN	tun
ich	PPER	ich
es	PPER	es
.	$.	.
Du	PPER	du
weißt	VVFIN	weißen
,	$,	,
der	ART	die
Minister	NN	Minister
hat	VAFIN	haben
erst	ADV	erst
kürzlich	ADJD	kürzlich
wieder	ADV	wieder
im	APPRART	in
Landtage	NN	Landtag
erklärt	VVPP	erklären
,	$,	,
daß	KOUS	dass
wir	PPER	wir
in	APPR	in
der	ART	die
Provinz	NN	Provinz
die	ART	die
regierungsfreundliche	ADJA	regierungsfreundlich
Gesinnung	NN	Gesinnung
erhalten	VVINF	erhalten
müssen	VMINF	müssen
;	$.	;
wir	PPER	wir
sollen	VMFIN	sollen
die	ART	die
Väter	NN	Vater
unserer	PPOSAT	unser
Bezirke	NN	Bezirk
sein	VAINF	sein
;	$.	;
er	PPER	er
beurteilt	VVFIN	beurteilen
seine	PPOSAT	sein
Beamten	NN	Beamter
hauptsächlich	ADJD	hauptsächlich
danach	PAV	danach
,	$,	,
ob	KOUS	ob
sie	PPER	sie
beliebt	VVPP	belieben
sind	VAFIN	sein
.	$.	.
FRAU	NN	Frau
BEZIRKSAMTMANN	NN	Bezirksamtmann
.	$.	.
So	ADV	so
?	$.	?
Du	PPER	du
mußt	VMFIN	müssen
also	ADV	also
jeden	PIAT	jede
Bauernlümmel	NN	Bauernlümmel
zum	APPRART	zu
Essen	NN	Essen
einladen	VVINF	einladen
,	$,	,
damit	KOUS	damit
er	PPER	er
dich	PPER	du
lieb	ADJD	lieb
