Ouvertüre	NN	Ouvertüre
habt	VAFIN	haben
Ihr	PPER	sie
,	$,	,
obwohl	KOUS	obwohl
meine	PPOSAT	mein
Frau	NN	Frau
für	APPR	für
Euch	PPER	ihr
,	$,	,
Herr	NN	Herr
Doktor	NN	Doktor
,	$,	,
stimmt	VVFIN	stimmen
,	$,	,
ich	PPER	ich
weiß	VVFIN	wissen
es	PPER	es
.	$.	.
CAJUS	NN	CAJUS
.	$.	.
Oui	NE	Oui
pardieu	NE	pardieu
!	$.	!
–	NN	–
Und	KON	und
die	ART	die
Fräulein	NN	Fräulein
lieben	VVFIN	lieben
mir	PPER	ich
–	ADJD	–
ik	ADJA	ik
'	$(	'
aben	ADJA	aben
kelesen	TRUNC	kelesen
daß	KOUS	dass
in	APPR	in
ihre	PPOSAT	ihr
ßöne	ADJA	ßöne
Auken	NN	Auken
!	$.	!
SPÄRLICH	ADJD	spärlich
beiseite	ADV	beiseite
,	$,	,
mit	APPR	mit
verächtlichem	ADJA	verächtlich
Blick	NN	Blick
auf	APPR	auf
Cajus	NN	Cajus
.	$.	.
O	NN	O
süße	ADJA	süß
Anna	NN	Anna
!	$.	!
FLUTH	NE	FLUTH
zu	APPR	zu
Cajus	NN	Cajus
.	$.	.
Das	PDS	die
ist	VAFIN	sein
eine	ART	eine
trügliche	ADJA	trügliche
Schrift	NN	Schrift
,	$,	,
mein	PPOSAT	mein
Freund	NN	Freund
,	$,	,
die	PRELS	die
Ihr	PPER	sie
da	ADV	da
gelesen	VVPP	lesen
habt	VAFIN	haben
!	$.	!
Die	ART	die
Weiber	NN	Weib
ma	NE	ma
chen	ADJD	chen
leicht	ADJD	leicht
überall	ADV	überall
schöne	ADJA	schön
Augen	NN	Auge
!	$.	!
Ich	PPER	ich
weiß	VVFIN	wissen
das	PDS	die
von	APPR	von
meinem	PPOSAT	mein
eigenen	ADJA	eigen
Weibe	NN	Weib
,	$,	,
das	PRELS	die
ich	PPER	ich
nicht	PTKNEG	nicht
genug	ADV	genug
hüten	VVINF	hüten
kann	VMFIN	können
!	$.	!
Aber	ADV	aber
beim	APPRART	bei
Himmel	NN	Himmel
!	$.	!
Heftig	ADJD	heftig
werdend	ADJD	werdend
.	$.	.
Wenn	KOUS	wenn
ich	PPER	ich
einmal	ADV	einmal
einen	ART	eine
Liebhaber	NN	Liebhaber
bei	APPR	bei
ihr	PPER	ihr
ertappe	VVFIN	ertappen
,	$,	,
ich	PPER	ich
...	$.	...
REICH	ADJD	reich
.	$.	.
Schweigt	VVFIN	schweigen
,	$,	,
Nachbar	NN	Nachbar
Fluth	NE	Fluth
!	$.	!
Mit	APPR	mit
Eurer	PPOSAT	euer
ewigen	ADJA	ewig
Eifersucht	NN	Eifersucht
kränkt	VVFIN	kränken
Ihr	PPER	sie
nur	ADV	nur
Eure	PPOSAT	euer
tugendsame	ADJA	tugendsame
Hausfrau	NN	Hausfrau
und	KON	und
macht	VVFIN	machen
Euch	PPER	ihr
zum	APPRART	zu
Gelächter	NN	Gelächter
!	$.	!
FLUTH	NE	FLUTH
.	$.	.
Und	KON	und
Ihr	PPER	sie
werdet	VAFIN	werden
Eurem	PPOSAT	euer
Weibe	NN	Weib
so	ADV	so
lange	ADV	lange
alles	PIS	alle
durch	APPR	durch
die	ART	die
Finger	NN	Finger
sehen	VVINF	sehen
,	$,	,
bis	KOUS	bis
Ihr	PPER	sie
den	ART	die
allerschönsten	ADJA	allerschön
Hauptschmuck	NN	Hauptschmuck
herumtragen	VVINF	herumtragen
werdet	VAFIN	werden
!	$.	!
–	ADJA	–
O	NN	O
die	ART	die
Weiber	NN	Weib
,	$,	,
die	ART	die
Weiber	NN	Weib
!	$.	!
REICH	ADJD	reich
.	$.	.
Laßt	VVFIN	lassen
uns	PPER	wir
darum	PAV	darum
nicht	PTKNEG	nicht
streiten	VVINF	streiten
;	$.	;
ich	PPER	ich
weiß	VVFIN	wissen
es	PPER	es
,	$,	,
Ihr	PPER	sie
seid	VAFIN	sein
unverbesserlich	ADJD	unverbesserlich
.	$.	.
Gehen	VVFIN	gehen
wir	PPER	wir
!	$.	!
FLUTH	NE	FLUTH
.	$.	.
Guten	ADJA	gut
Abend	NN	Abend
,	$,	,
liebe	ADJA	lieb
Herren	NN	Herr
!	$.	!
Im	APPRART	in
Abgehen	NN	Abgehen
in	APPR	in
sein	PPOSAT	sein
Haus	NN	Haus
.	$.	.
Ich	PPER	ich
will	VMFIN	wollen
meine	PPOSAT	mein
Frau	NN	Frau
nicht	PTKNEG	nicht
zu	PTKA	zu
lange	ADV	lange
allein	ADV	allein
lassen	VVINF	lassen
.	$.	.
Er	PPER	er
geht	VVFIN	gehen
ab	PTKVZ	ab
.	$.	.
