[	$(	[
als	KOKOM	als
wärs	NN	wärs
nicht	PTKNEG	nicht
gewesen	VAPP	sein
.	$.	.
Drum	PAV	drum
ließ	VVFIN	lassen
ich	PPER	ich
mir	PRF	ich
bas	NE	Bas
wohl	ADV	wohl
seyn	ADJD	seyn
.	$.	.
–	NN	–
Wenn	KOUS	wenn
ich	PPER	ich
aber	ADV	aber
nun	ADV	nun
so	ADV	so
denke	VVFIN	denken
,	$,	,
was	PRELS	was
für	APPR	für
ein	ART	eine
elendes	ADJA	elend
,	$,	,
lumpichtes	ADJA	lumpichtes
,	$,	,
niederträchtiges	ADJA	niederträchtig
Geschmeiß	NN	Geschmeiß
die	ART	die
Menschen	NN	Mensch
sind	VAFIN	sein
!	$.	!
Ich	PPER	ich
war	VAFIN	sein
ein	ART	eine
Prinz	NN	Prinz
von	APPR	von
funfzehen	NN	funfzehen
Jahren	NN	Jahr
,	$,	,
ein	ART	eine
unbärtiger	ADJA	unbärtiger
Junge	NN	Junge
;	$.	;
regierte	VVFIN	regieren
über	APPR	über
das	ART	die
große	ADJA	groß
Trilinik	NN	Trilinik
,	$,	,
über	APPR	über
Kerls	NN	Kerl
von	APPR	von
60	CARD	60
Jahren	NN	Jahr
,	$,	,
voll	ADJD	voll
Weisheit	NN	Weisheit
und	KON	und
Verstand	NN	Verstand
,	$,	,
mit	APPR	mit
langen	ADJA	lang
grauen	ADJA	grau
Bärten	NN	Bart
,	$,	,
und	KON	und
doch	ADV	doch
sagten	VVFIN	sagen
mir	PPER	ich
die	ART	die
Bursche	NN	Bursche
grade	PTKVZ	grade
zu	APPR	zu
ins	APPRART	in
glatte	ADJA	glatt
Angesicht	NN	Angesicht
,	$,	,
ich	PPER	ich
wisse	VVFIN	wissen
mehr	ADV	mehr
als	KOUS	als
sie	PPER	sie
alle	PIS	alle
;	$.	;
sie	PPER	sie
seyen	VVFIN	seyen
Dumköpfe	NN	Dumköpfe
gegen	APPR	gegen
mich	PPER	ich
,	$,	,
ich	PPER	ich
sey	VVFIN	sey
die	ART	die
Sonne	NN	Sonne
die	PRELS	die
sie	PPER	sie
erleuchte	VVFIN	erleuchten
.	$.	.
Ich	PPER	ich
glaubte	VVFIN	glauben
es	PPER	es
auch	ADV	auch
steif	ADJD	steif
und	KON	und
fest	ADJD	fest
,	$,	,
und	KON	und
glaubt	VVFIN	glauben
es	PPER	es
noch	ADV	noch
hier	ADV	hier
auf	APPR	auf
dem	ART	die
Grabe	NN	Grab
,	$,	,
hätten	VAFIN	haben
sie	PPER	sie
gestern	ADV	gestern
,	$,	,
als	KOUS	als
ich	PPER	ich
so	ADV	so
furchtsam	ADJD	furchtsam
zwischen	APPR	zwischen
der	ART	die
Winkel-Treppe	NN	Winkel-Treppe
des	ART	die
Lebens	NN	Leben
und	KON	und
des	ART	die
Todes	NN	Tod
schwankte	VVFIN	schwanken
,	$,	,
nicht	PTKNEG	nicht
das	ART	die
nehmliche	NN	nehmliche
zu	APPR	zu
meinem	PPOSAT	mein
Prinz	NN	Prinz
Seiden-Wurm	NN	Seiden-Wurm
gesagt	VVPP	sagen
,	$,	,
der	PRELS	die
doch	ADV	doch
bey	NE	Bey
meinem	PPOSAT	mein
Scepter	NN	Scepter
!	$.	!
und	KON	und
der	ART	die
Höhle	NN	Höhle
des	ART	die
Tods	NN	Tod
seys	NE	seys
geschworen	VVPP	schwören
!	$.	!
dummer	ADJA	dumm
ist	VAFIN	sein
,	$,	,
als	KOUS	als
eine	ART	eine
Auster	NN	Auster
!	$.	!
Das	PDS	die
ist	VAFIN	sein
nun	ADV	nun
alles	PIS	alle
was	PRELS	was
ich	PPER	ich
in	APPR	in
den	ART	die
funfzig	NN	funfzig
Jahren	NN	Jahr
gelernt	VVPP	lernen
hab	VAIMP	haben
,	$,	,
nehmlich	ADJD	nehmlich
:	$.	:
Daß	KOUS	dass
das	ART	die
Menschenzeug	NN	Menschenzeug
,	$,	,
elendes	ADJA	elend
Lumpen-Gesindel	NN	Lumpen-Gesindel
ist	VAFIN	sein
,	$,	,
das	PRELS	die
sich	PRF	sich
unter	APPR	unter
einem	ART	eine
Seiden-Wurm	NN	Seiden-Wurm
eben	ADV	eben
so	ADV	so
gut	ADJD	gut
befindet	VVFIN	befinden
,	$,	,
als	KOUS	als
unter	APPR	unter
einem	ART	eine
Solon	NN	Solon
;	$.	;
oder	KON	oder
meines	PPOSAT	mein
gleichen	ADJA	gleich
.	$.	.
–	NN	–
Ich	PPER	ich
muß	VMFIN	müssen
doch	ADV	doch
meine	PPOSAT	mein
königliche	ADJA	königlich
Gemahlin	NN	Gemahlin
Tritina	NE	Tritina
aus	APPR	aus
dem	ART	die
dumpfen	ADJA	dumpf
Loch	NN	Loch
hervorpochen	VVFIN	hervorpochen
.	$.	.
Ich	PPER	ich
glaub	VVIMP	glauben
immer	ADV	immer
nicht	PTKNEG	nicht
,	$,	,
daß	KOUS	dass
ich	PPER	ich
Seiden-Wurms	NN	Seiden-Wurms
Vater	NN	Vater
bin	VAFIN	sein
;	$.	;
der	ART	die
Gauch	NN	Gauch
hat	VAFIN	haben
keine	PIAT	keine
königliche	ADJA	königlich
Ader	NN	Ader
an	APPR	an
seinem	PPOSAT	sein
Leibe	NN	Leib
,	$,	,
und	KON	und
ich	PPER	ich
hab	VAIMP	haben
immer	ADV	immer
den	ART	die
Schuft	NN	Schuft
von	APPR	von
dikem	ADJA	dikem
Minister	NN	Minister
Bim	NN	Bim
im	APPRART	in
Verdacht	NN	Verdacht
,	$,	,
der	PRELS	die
da	ADV	da
oben	ADV	oben
die	ART	die
Menschen	NN	Mensch
,	$,	,
die	PRELS	die
ich	PPER	ich
noch	ADV	noch
gestern	ADV	gestern
meine	PPOSAT	mein
Sclaven	NN	Sclaven
